,Weather,datetime
614,rain,2018-07-28
615,none,2017-09-09
616,rain,2018-06-24
617,rain,2019-02-24
618,rain,2017-12-17
619,none,2018-03-25
620,rain,2018-05-20
621,rain,2018-08-04
622,none,2018-05-26
623,none,2018-07-01
624,none,2018-09-03
625,rain,2017-07-08
626,none,2019-03-24
627,rain,2018-10-21
628,rain,2018-04-15
629,none,2018-04-01
630,none,2018-01-14
631,rain,2019-03-10
632,none,2017-06-18
633,rain,2019-06-03
634,rain,2018-12-16
635,none,2018-12-09
636,none,2018-04-08
637,none,2019-02-10
638,none,2019-01-06
639,snow,2019-03-03
640,none,2019-04-07
